s,m3/s,m3/s,m,C
Time,"flow_volume_supply","flow_volume_exhaust","eye_level_visibility","air_temperature"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 2.0000000E+001
 1.0212040E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 2.0110213E+001
 2.0029567E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 2.0762041E+001
 3.0026001E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 2.1707665E+001
 4.0003570E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 2.2637906E+001
 5.0032504E+000, 0.0000000E+000, 0.0000000E+000, 2.9962397E+001, 2.5493635E+001
 6.0134495E+000, 0.0000000E+000, 0.0000000E+000, 2.1069075E+001, 3.6841165E+001
 7.0080851E+000, 0.0000000E+000, 0.0000000E+000, 2.8127286E+001, 3.4346700E+001
 8.0127901E+000, 0.0000000E+000, 0.0000000E+000, 2.0833039E+001, 3.9928727E+001
 9.0039087E+000, 0.0000000E+000, 0.0000000E+000, 1.3965327E+001, 4.5802506E+001
 1.0012960E+001, 0.0000000E+000, 0.0000000E+000, 1.2235786E+001, 4.8336152E+001
 1.1001564E+001, 0.0000000E+000, 0.0000000E+000, 1.0591431E+001, 5.1641767E+001
 1.2000321E+001, 0.0000000E+000, 0.0000000E+000, 1.1165399E+001, 5.0592501E+001
 1.3001905E+001, 0.0000000E+000, 0.0000000E+000, 7.8354068E+000, 6.4750459E+001
 1.4009328E+001, 0.0000000E+000, 0.0000000E+000, 8.1541712E+000, 6.0646016E+001
 1.5012784E+001, 0.0000000E+000, 0.0000000E+000, 6.4185981E+000, 6.9223508E+001
 1.6008524E+001, 0.0000000E+000, 0.0000000E+000, 5.7435257E+000, 7.5335832E+001
 1.7012847E+001, 0.0000000E+000, 0.0000000E+000, 5.0912443E+000, 8.2222342E+001
 1.8010677E+001, 0.0000000E+000, 0.0000000E+000, 4.7392799E+000, 8.4808585E+001
 1.9009420E+001, 0.0000000E+000, 0.0000000E+000, 6.8606961E+000, 6.7511199E+001
 2.0002993E+001, 0.0000000E+000, 0.0000000E+000, 5.3703689E+000, 8.1685920E+001
 2.1004355E+001, 1.2843652E+000, 1.2843652E+000, 4.4508091E+000, 8.7463879E+001
 2.2004227E+001, 2.6682563E+000, 2.6682563E+000, 4.3616053E+000, 8.9027925E+001
 2.3002284E+001, 2.9520080E+000, 2.9520080E+000, 4.8005163E+000, 8.0902901E+001
 2.4003222E+001, 2.9934319E+000, 2.9934319E+000, 1.0581142E+001, 5.9807589E+001
 2.5007017E+001, 2.9991127E+000, 2.9991127E+000, 2.9226794E+001, 4.1355081E+001
 2.6002007E+001, 2.9998801E+000, 2.9998801E+000, 3.0000000E+001, 3.7239443E+001
 2.7005801E+001, 2.9999837E+000, 2.9999837E+000, 3.0000000E+001, 2.7619774E+001
 2.8000791E+001, 2.9999978E+000, 2.9999978E+000, 3.0000000E+001, 2.6974629E+001
 2.9004586E+001, 2.9999997E+000, 2.9999997E+000, 3.0000000E+001, 2.6976668E+001
 3.0008381E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.6102706E+001
 3.1003370E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.5066683E+001
 3.2007165E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.6401842E+001
 3.3002155E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.5731172E+001
 3.4005949E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.6878627E+001
 3.5000939E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.8156940E+001
 3.6004734E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.6424542E+001
 3.7008529E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.8051206E+001
 3.8003518E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.7601998E+001
 3.9007313E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 3.0208715E+001
 4.0002303E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.6130426E+001
 4.1006098E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.5391122E+001
 4.2001087E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.6041688E+001
 4.3004882E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.5774379E+001
 4.4008677E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.5736648E+001
 4.5003666E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.6166788E+001
 4.6007461E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.5581141E+001
 4.7002451E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.6825982E+001
 4.8006246E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.6915852E+001
 4.9001235E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.6596845E+001
 5.0005030E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.5864349E+001
 5.1000020E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.5984912E+001
 5.2003814E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.5697833E+001
 5.3007609E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.6505041E+001
 5.4002599E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.5460150E+001
 5.5006394E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.8300929E+001
 5.6001383E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.7738816E+001
 5.7005178E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.8037431E+001
 5.8000168E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.5708194E+001
 5.9003963E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.5673768E+001
 6.0000000E+001, 3.0000000E+000, 3.0000000E+000, 3.0000000E+001, 2.8258941E+001
