,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2025-06-24T18:08:11.504+01:00, 0.922E-01,   0.09218, 0.19470E+01
       2,2025-06-24T18:08:11.574+01:00, 0.922E-01,   0.18437, 0.20165E+01
       3,2025-06-24T18:08:11.671+01:00, 0.922E-01,   0.27655, 0.21143E+01
       4,2025-06-24T18:08:11.744+01:00, 0.922E-01,   0.36873, 0.21871E+01
       5,2025-06-24T18:08:11.817+01:00, 0.922E-01,   0.46091, 0.22603E+01
       6,2025-06-24T18:08:11.914+01:00, 0.922E-01,   0.55310, 0.23572E+01
       7,2025-06-24T18:08:11.988+01:00, 0.922E-01,   0.64528, 0.24312E+01
       8,2025-06-24T18:08:12.092+01:00, 0.782E-01,   0.72348, 0.25351E+01
       9,2025-06-24T18:08:12.221+01:00, 0.594E-01,   0.78292, 0.26640E+01
      10,2025-06-24T18:08:12.314+01:00, 0.490E-01,   0.83190, 0.27570E+01
      20,2025-06-24T18:08:13.174+01:00, 0.257E-01,   1.15673, 0.36168E+01
      30,2025-06-24T18:08:13.952+01:00, 0.220E-01,   1.38788, 0.43953E+01
      40,2025-06-24T18:08:14.730+01:00, 0.198E-01,   1.59902, 0.51724E+01
      50,2025-06-24T18:08:15.546+01:00, 0.174E-01,   1.79185, 0.59890E+01
      60,2025-06-24T18:08:16.385+01:00, 0.149E-01,   1.95835, 0.68274E+01
      70,2025-06-24T18:08:17.119+01:00, 0.149E-01,   2.10704, 0.75620E+01
      80,2025-06-24T18:08:17.864+01:00, 0.131E-01,   2.24879, 0.83068E+01
      90,2025-06-24T18:08:18.625+01:00, 0.131E-01,   2.38011, 0.90675E+01
     100,2025-06-24T18:08:19.383+01:00, 0.117E-01,   2.50997, 0.98259E+01
     200,2025-06-24T18:08:26.895+01:00, 0.141E-01,   3.84498, 0.17336E+02
     300,2025-06-24T18:08:34.597+01:00, 0.141E-01,   5.25751, 0.25037E+02
     400,2025-06-24T18:08:42.510+01:00, 0.132E-01,   6.75634, 0.32950E+02
     500,2025-06-24T18:08:50.382+01:00, 0.143E-01,   8.14433, 0.40822E+02
     600,2025-06-24T18:08:58.304+01:00, 0.139E-01,   9.59789, 0.48742E+02
     700,2025-06-24T18:09:06.190+01:00, 0.145E-01,  11.04518, 0.56628E+02
     800,2025-06-24T18:09:14.100+01:00, 0.144E-01,  12.48937, 0.64537E+02
     900,2025-06-24T18:09:22.036+01:00, 0.150E-01,  14.00933, 0.72474E+02
    1000,2025-06-24T18:09:30.206+01:00, 0.147E-01,  15.48199, 0.80642E+02
    1100,2025-06-24T18:09:38.565+01:00, 0.159E-01,  17.06067, 0.89001E+02
    1200,2025-06-24T18:09:46.876+01:00, 0.158E-01,  18.61514, 0.97311E+02
    1300,2025-06-24T18:09:54.868+01:00, 0.158E-01,  20.19224, 0.10530E+03
    1400,2025-06-24T18:10:02.884+01:00, 0.109E-01,  21.52904, 0.11332E+03
    1500,2025-06-24T18:10:10.736+01:00, 0.978E-02,  22.52283, 0.12117E+03
    1600,2025-06-24T18:10:18.526+01:00, 0.978E-02,  23.50131, 0.12896E+03
    1700,2025-06-24T18:10:26.385+01:00, 0.881E-02,  24.39065, 0.13682E+03
    1800,2025-06-24T18:10:34.310+01:00, 0.881E-02,  25.27117, 0.14474E+03
    1900,2025-06-24T18:10:42.207+01:00, 0.881E-02,  26.15170, 0.15264E+03
    2000,2025-06-24T18:10:50.091+01:00, 0.881E-02,  27.03222, 0.16052E+03
    2100,2025-06-24T18:10:58.127+01:00, 0.881E-02,  27.91274, 0.16856E+03
    2200,2025-06-24T18:11:06.080+01:00, 0.881E-02,  28.79326, 0.17651E+03
    2300,2025-06-24T18:11:14.028+01:00, 0.881E-02,  29.67378, 0.18445E+03
    2400,2025-06-24T18:11:21.954+01:00, 0.881E-02,  30.55430, 0.19238E+03
    2500,2025-06-24T18:11:29.988+01:00, 0.881E-02,  31.43483, 0.20041E+03
    2600,2025-06-24T18:11:38.062+01:00, 0.881E-02,  32.31535, 0.20849E+03
    2700,2025-06-24T18:11:46.090+01:00, 0.881E-02,  33.19587, 0.21651E+03
    2800,2025-06-24T18:11:53.994+01:00, 0.881E-02,  34.07639, 0.22442E+03
    2900,2025-06-24T18:12:01.879+01:00, 0.881E-02,  34.95691, 0.23230E+03
    3000,2025-06-24T18:12:09.759+01:00, 0.881E-02,  35.83743, 0.24018E+03
    3100,2025-06-24T18:12:18.034+01:00, 0.881E-02,  36.71796, 0.24846E+03
    3200,2025-06-24T18:12:25.995+01:00, 0.881E-02,  37.59848, 0.25642E+03
    3300,2025-06-24T18:12:34.024+01:00, 0.881E-02,  38.47900, 0.26445E+03
    3400,2025-06-24T18:12:42.013+01:00, 0.881E-02,  39.35952, 0.27243E+03
    3500,2025-06-24T18:12:49.840+01:00, 0.881E-02,  40.24004, 0.28026E+03
    3600,2025-06-24T18:12:57.746+01:00, 0.881E-02,  41.12057, 0.28817E+03
    3700,2025-06-24T18:13:05.715+01:00, 0.881E-02,  42.00109, 0.29613E+03
    3800,2025-06-24T18:13:13.574+01:00, 0.881E-02,  42.88161, 0.30399E+03
    3900,2025-06-24T18:13:21.647+01:00, 0.881E-02,  43.76213, 0.31207E+03
    4000,2025-06-24T18:13:29.810+01:00, 0.881E-02,  44.64265, 0.32023E+03
    4100,2025-06-24T18:13:37.699+01:00, 0.881E-02,  45.52317, 0.32812E+03
    4200,2025-06-24T18:13:45.640+01:00, 0.881E-02,  46.40370, 0.33606E+03
    4300,2025-06-24T18:13:53.560+01:00, 0.881E-02,  47.28422, 0.34398E+03
    4400,2025-06-24T18:14:01.569+01:00, 0.881E-02,  48.16474, 0.35199E+03
    4500,2025-06-24T18:14:09.460+01:00, 0.881E-02,  49.04526, 0.35988E+03
    4600,2025-06-24T18:14:17.315+01:00, 0.881E-02,  49.92578, 0.36773E+03
    4700,2025-06-24T18:14:25.115+01:00, 0.881E-02,  50.80630, 0.37553E+03
